date,open,high,low,close,adjusted_close,volume,symbol
2025-06-12,199.08,199.68,197.36,199.2,198.9742,43904600,AAPL.US
2025-06-13,199.73,200.37,195.7,196.45,196.2273,51447300,AAPL.US
2025-06-16,197.3,198.69,196.56,198.42,198.1951,43020700,AAPL.US
2025-06-17,197.2,198.39,195.21,195.64,195.4182,38856200,AAPL.US
2025-06-18,195.94,197.57,195.07,196.58,196.3571,45394700,AAPL.US
2025-06-20,198.24,201.7,196.86,201.0,200.7721,96813500,AAPL.US
2025-06-23,201.63,202.3,198.96,201.5,201.2716,55814300,AAPL.US
2025-06-24,202.59,203.44,200.2,200.3,200.0729,54064000,AAPL.US
2025-06-25,201.45,203.67,200.62,201.56,201.3315,39525700,AAPL.US
2025-06-26,201.43,202.64,199.46,201.0,200.7721,50799100,AAPL.US
2025-06-27,201.89,203.22,200.0,201.08,200.852,73188600,AAPL.US
2025-06-30,202.01,207.39,199.26,205.17,204.9374,91912800,AAPL.US
2025-07-01,206.67,210.19,206.14,207.82,207.5844,78788900,AAPL.US
2025-07-02,208.91,213.34,208.14,212.44,212.1992,67941800,AAPL.US
2025-07-03,212.15,214.65,211.81,213.55,213.3079,34955800,AAPL.US
2025-07-07,212.68,216.23,208.8,209.95,209.712,50229000,AAPL.US
2025-07-08,210.1,211.43,208.45,210.01,209.7719,42848900,AAPL.US
2025-07-09,209.53,211.33,207.22,211.14,210.9006,48749400,AAPL.US
2025-07-10,210.51,213.48,210.03,212.41,212.1692,44443600,AAPL.US
2025-07-11,210.57,212.13,209.86,211.16,210.9206,39765800,AAPL.US
2025-07-14,209.93,210.91,207.54,208.62,208.3835,38840100,AAPL.US
2025-07-15,209.22,211.89,208.92,209.11,208.8729,42296300,AAPL.US
2025-07-16,210.3,212.4,208.64,210.16,209.9218,47490500,AAPL.US
2025-07-17,210.57,211.8,209.59,210.02,209.7819,48068100,AAPL.US
2025-07-18,210.87,211.79,209.7,211.18,210.9406,48974600,AAPL.US
2025-07-21,212.1,215.78,211.63,212.48,212.2391,51377400,AAPL.US
2025-07-22,213.14,214.95,212.23,214.4,214.1569,46404100,AAPL.US
2025-07-23,215.0,215.15,212.41,214.15,213.9072,46989300,AAPL.US
2025-07-24,213.9,215.69,213.53,213.76,213.5177,46022600,AAPL.US
2025-07-25,214.7,215.24,213.4,213.88,213.6375,40268800,AAPL.US
2025-07-28,214.03,214.85,213.06,214.05,213.8073,37858000,AAPL.US
2025-07-29,214.18,214.81,210.82,211.27,211.0305,51411700,AAPL.US
2025-07-30,211.9,212.39,207.72,209.05,208.813,45512500,AAPL.US
2025-07-31,208.49,209.84,207.16,207.57,207.3347,80698400,AAPL.US
2025-08-01,210.87,213.58,201.5,202.38,202.1506,104434500,AAPL.US
2025-08-04,204.51,207.88,201.68,203.35,203.1195,75109300,AAPL.US
2025-08-05,203.4,205.34,202.16,202.92,202.69,44155100,AAPL.US
2025-08-06,205.63,215.38,205.59,213.25,213.0083,108483100,AAPL.US
2025-08-07,218.88,220.85,216.58,220.03,219.7806,90224800,AAPL.US
